0, 1
63.8924(354.7, 179.3, 3.1)
64.39246(357.6, 180.5, 2.4)
64.90295(359.6, 178.4, 1.9)
65.41394(359.3, 172.0, 2.3)
65.92535(1.3, 165.9, 4.1)
66.43555(0.8, 167.0, 3.6)
66.94666(1.4, 173.1, 1.2)
67.45709(360.0, 173.1, 3.1)
67.95752(0.1, 169.6, 4.1)
68.46729(0.6, 166.6, 2.0)
68.96783(358.9, 163.7, 3.6)
69.4787(359.2, 163.4, 4.4)
69.98956(359.2, 162.0, 3.2)
70.50055(0.7, 159.4, 5.2)
71.01129(0.8, 164.2, 2.2)
71.52203(359.8, 164.9, 4.3)
72.03229(358.6, 168.5, 2.2)
72.54352(0.2, 169.6, 2.1)
73.05383(357.9, 175.4, 1.4)
73.55438(356.8, 178.9, 359.3)
74.06494(3.6, 181.6, 0.4)
74.57562(0.7, 180.9, 2.7)
75.08655(0.6, 182.8, 1.5)
75.59741(2.0, 181.5, 1.6)
76.10834(0.5, 170.7, 3.4)
76.61908(358.6, 175.4, 3.0)
77.12982(358.0, 167.1, 3.9)
77.64099(358.2, 162.0, 3.7)
78.1413(357.0, 153.3, 4.0)
78.65186(356.1, 119.8, 6.3)
79.16229(357.6, 96.0, 4.0)
79.6734(357.0, 72.7, 4.2)
80.18384(358.1, 30.1, 7.4)
80.68433(358.3, 357.8, 4.6)
81.19495(357.0, 359.1, 3.0)
81.70599(357.2, 356.3, 3.4)
82.20618(355.1, 0.9, 3.4)
82.7171(355.7, 8.6, 3.5)
83.22681(358.9, 70.2, 358.6)
0, 6
0.333374(358.2, 133.9, 0.5)
0.8363037(357.4, 81.9, 5.2)
1.342224(1.6, 33.4, 5.3)
1.842773(357.2, 12.1, 5.4)
2.353088(357.4, 6.9, 4.7)
2.85321(356.1, 6.6, 2.1)
3.36377(355.3, 5.9, 3.1)
3.874695(351.8, 8.2, 3.3)
4.385498(350.9, 8.8, 3.2)
4.896423(352.7, 10.2, 4.6)
5.407288(353.1, 11.3, 4.0)
5.907349(353.1, 12.2, 2.8)
6.417725(352.5, 13.6, 2.4)
6.928284(352.0, 14.6, 2.9)
7.428528(352.9, 15.7, 3.8)
7.939026(354.4, 16.8, 4.2)
8.439087(355.0, 17.5, 3.7)
8.94989(355.0, 17.6, 3.6)
9.460449(354.5, 17.7, 3.7)
9.971619(354.6, 17.6, 4.7)
10.48242(352.9, 17.2, 4.5)
10.99335(352.6, 19.0, 4.0)
